"payload_size","most_used_MCS","effective_latency"
47750,0,-17
47800,0,-17
47850,0,-17
47900,0,-17
47950,0,-17
48000,0,-17
48050,0,-17
48100,0,-17
48150,0,-17
48200,0,-17
48250,0,-17
48300,0,-17
48350,0,-17
48400,0,-17
48450,0,-17
48500,0,-17
48550,0,-17
48600,0,-17
48650,0,-17
48700,0,-17
48750,0,-17
48800,0,-17
48850,0,-17
48900,0,-17
48950,0,-17
49000,0,-17
49050,0,-17
49100,0,-17
49150,0,-17
49200,0,-17
49250,0,-17
49300,0,-17
49350,0,-17
49400,0,-17
49450,0,-17
49500,0,-17
49550,0,-17
49600,0,-17
49650,0,-17
49700,0,-17
49750,0,-17
49800,0,-17
49850,0,-17
49900,0,-17
49950,0,-17
50000,0,-17
50050,0,-17
50100,0,-17
50150,0,-17
50200,0,-17
50250,0,-17
50300,0,-17
50350,0,-17
50400,0,-17
50450,0,-17
50500,0,-17
50550,0,-17
50600,0,-17
50650,0,-17
50700,0,-17
50750,0,-17
50800,0,-17
50850,0,-17
50900,0,-17
50950,0,-17
51000,0,-17
51050,0,-17
51100,0,-17
51150,0,-17
51200,0,-17
51250,0,-17
51300,0,-17
51350,0,-17
51400,0,-17
51450,0,-17
51500,0,-17
51550,0,-17
51600,0,-17
51650,0,-17
51700,0,-17
51750,0,-17
51800,0,-17
51850,0,-17
51900,0,-17
51950,0,-17
52000,0,-17
52050,0,-17
52100,0,-17
52150,0,-17
52200,0,-17
52250,0,-17
52300,0,-17
52350,0,-17
52400,0,-17
52450,0,-17
52500,0,-17
52550,0,-17
52600,0,-17
52650,0,-17
52700,0,-17
52750,0,-17
52800,0,-17
52850,0,-17
52900,0,-17
52950,0,-17
53000,0,-17
53050,0,-17
53100,0,-17
53150,0,-17
53200,0,-17
53250,0,-17
53300,0,-17
53350,0,-17
53400,0,-17
53450,0,-17
53500,0,-17
53550,0,-17
53600,0,-17
53650,0,-17
53700,0,-17
53750,0,-17
53800,0,-17
53850,0,-17
53900,0,-17
53950,0,-17
54000,0,-17
54050,0,-17
54100,0,-17
54150,0,-17
54200,0,-17
54250,0,-17
54300,0,-17
54350,0,-17
54400,0,-17
54450,0,-17
54500,0,-17
54550,0,-17
54600,0,-17
54650,0,-17
54700,0,-17
54750,0,-17
54800,0,-17
54850,0,-17
54900,0,-17
54950,0,-17
55000,0,-17
55050,0,-17
55100,0,-17
55150,0,-17
55200,0,-17
55250,0,-17
55300,0,-17
55350,0,-17
55400,0,-17
55450,0,-17
55500,0,-17
55550,0,-17
55600,0,-17
55650,0,-17
55700,0,-17
55750,0,-17
55800,0,-17
55850,0,-17
55900,0,-17
55950,0,-17
56000,0,-17
56050,0,-17
56100,0,-17
56150,0,-17
56200,0,-17
56250,0,-17
56300,0,-17
56350,0,-17
56400,0,-17
56450,0,-17
56500,0,-17
56550,0,-17
56600,0,-17
56650,0,-17
56700,0,-17
56750,0,-17
56800,0,-17
56850,0,-17
56900,0,-17
56950,0,-17
57000,0,-17
57050,0,-17
57100,0,-17
57150,0,-17
57200,0,-17
57250,0,-17
57300,0,-17
57350,0,-17
57400,0,-17
57450,0,-17
57500,0,-17
57550,0,-17
57600,0,-17
57650,0,-17
57700,0,-17
57750,0,-17
57800,0,-17
57850,0,-17
57900,0,-17
57950,0,-17
58000,0,-17
58050,0,-17
58100,0,-17
58150,0,-17
58200,0,-17
58250,0,-17
58300,0,-17
58350,0,-17
58400,0,-17
58450,0,-17
58500,0,-17
58550,0,-17
58600,0,-17
58650,0,-17
58700,0,-17
58750,0,-17
58800,0,-17
58850,0,-17
58900,0,-17
58950,0,-17
59000,0,-17
59050,0,-17
59100,0,-17
59150,0,-17
59200,0,-17
59250,0,-17
59300,0,-17
59350,0,-17
59400,0,-17
59450,0,-17
59500,0,-17
59550,0,-17
59600,0,-17
59650,0,-17
59700,0,-17
59750,0,-17
59800,0,-17
59850,0,-17
59900,0,-17
59950,0,-17
60000,0,-17
60050,0,-17
60100,0,-17
60150,0,-17
60200,0,-17
60250,0,-17
60300,0,-17
60350,0,-17
60400,0,-17
60450,0,-17
60500,0,-17
60550,0,-17
60600,0,-17
60650,0,-17
60700,0,-17
60750,0,-17
60800,0,-17
60850,0,-17
60900,0,-17
60950,0,-17
61000,0,-17
61050,0,-17
61100,0,-17
61150,0,-17
61200,0,-17
61250,0,-17
61300,0,-17
61350,0,-17
61400,0,-17
61450,0,-17
61500,0,-17
61550,0,-17
61600,0,-17
61650,0,-17
61700,0,-17
61750,0,-17
61800,0,-17
61850,0,-17
61900,0,-17
61950,0,-17
62000,0,-17
62050,0,-17
62100,0,-17
62150,0,-17
62200,0,-17
62250,0,-17
62300,0,-17
62350,0,-17
62400,0,-17
62450,0,-17
62500,0,-17
62550,0,-17
62600,0,-17
62650,0,-17
62700,0,-17
62750,0,-17
62800,0,-17
62850,0,-17
62900,0,-17
62950,0,-17
63000,0,-17
63050,0,-17
63100,0,-17
63150,0,-17
63200,0,-17
63250,0,-17
63300,0,-17
63350,0,-17
63400,0,-17
63450,0,-17
63500,0,-17
63550,0,-17
63600,0,-17
63650,0,-17
63700,0,-17
63750,0,-17
63800,0,-17
63850,0,-17
63900,0,-17
63950,0,-17
64000,0,-17
64050,0,-17
64100,0,-17
64150,0,-17
64200,0,-17
64250,0,-17
64300,0,-17
64350,0,-17
64400,0,-17
64450,0,-17
64500,0,-17
64550,0,-17
64600,0,-17
64650,0,-17
64700,0,-17
64750,0,-17
64800,0,-17
64850,0,-17
64900,0,-17
64950,0,-17
65000,0,-17
50,1,0.522
100,1,0.538
150,1,0.57
200,1,0.602
250,1,0.634
300,1,0.65
350,1,0.682
400,1,0.714
450,1,0.73
500,1,0.762
550,1,0.794
600,1,0.81
650,1,0.842
700,1,0.874
750,1,0.906
800,1,0.922
850,1,0.954
900,1,0.986
950,1,1.002
1000,1,1.034
1050,1,1.066
1100,1,1.098
1150,1,1.114
1200,1,1.146
1250,1,1.178
1300,1,1.194
1350,1,1.226
1400,1,1.258
1450,1,1.29
1500,1,1.306
1550,1,1.338
1600,1,1.37
1650,1,1.386
1700,1,1.418
1750,1,1.45
1800,1,1.482
1850,1,1.498
1900,1,1.53
1950,1,1.562
2000,1,1.578
2050,1,1.61
2100,1,1.642
2150,1,1.658
2200,1,1.69
2250,1,1.722
2300,1,1.786
2350,1,1.818
2400,1,1.834
2450,1,1.866
2500,1,1.898
2550,1,1.914
2600,1,1.946
2650,1,1.978
2700,1,1.994
2750,1,2.026
2800,1,2.058
2850,1,2.09
2900,1,2.106
2950,1,2.138
3000,1,2.17
3050,1,2.186
3100,1,2.218
3150,1,2.25
3200,1,2.282
3250,1,2.298
3300,1,2.33
3350,1,2.362
3400,1,2.378
3450,1,2.41
3500,1,2.442
3550,1,2.474
3600,1,2.49
3650,1,2.522
3700,1,2.554
3750,1,2.57
3800,1,2.602
3850,1,2.634
3900,1,2.666
3950,1,2.682
4000,1,2.714
4050,1,2.746
4100,1,2.762
4150,1,2.794
4200,1,2.826
4250,1,2.842
4300,1,2.874
4350,1,2.906
4400,1,2.938
4450,1,2.954
4500,1,2.986
4550,1,3.05
4600,1,3.082
4650,1,3.098
4700,1,3.13
4750,1,3.162
4800,1,3.178
4850,1,3.21
4900,1,3.242
4950,1,3.274
5000,1,3.29
5050,1,3.322
5100,1,3.354
5150,1,3.37
5200,1,3.402
5250,1,3.434
5300,1,3.466
5350,1,3.482
5400,1,3.514
5450,1,3.546
5500,1,3.562
5550,1,3.594
5600,1,3.626
5650,1,3.658
5700,1,3.674
5750,1,3.706
5800,1,3.738
5850,1,3.754
5900,1,3.786
5950,1,3.818
6000,1,3.834
6050,1,3.866
6100,1,3.898
6150,1,3.93
6200,1,3.946
6250,1,3.978
6300,1,4.01
6350,1,4.026
6400,1,4.058
6450,1,4.09
6500,1,4.122
6550,1,4.138
6600,1,4.17
6650,1,4.202
6700,1,4.218
6750,1,4.25
6800,1,4.282
6850,1,4.346
6900,1,4.362
6950,1,4.394
7000,1,4.426
7050,1,4.458
7100,1,4.474
7150,1,4.506
7200,1,4.538
7250,1,4.554
7300,1,4.586
7350,1,4.618
7400,1,4.65
7450,1,4.666
7500,1,4.698
7550,1,4.73
7600,1,4.746
7650,1,4.778
7700,1,4.81
7750,1,4.842
7800,1,4.858
7850,1,4.89
7900,1,4.922
7950,1,4.938
8000,1,4.97
8050,1,5.002
8100,1,5.018
8150,1,5.05
8200,1,5.082
8250,1,5.114
8300,1,5.13
8350,1,5.162
8400,1,5.194
8450,1,5.21
8500,1,5.242
8550,1,5.274
8600,1,5.306
8650,1,5.322
8700,1,5.354
8750,1,5.386
8800,1,5.402
8850,1,5.434
8900,1,5.466
8950,1,5.498
9000,1,5.514
9050,1,5.546
9100,1,5.61
9150,1,5.642
9200,1,5.658
9250,1,5.69
9300,1,5.722
9350,1,5.738
9400,1,5.77
9450,1,5.802
9500,1,5.834
9550,1,5.85
9600,1,5.882
9650,1,6.169
9700,1,6.201
9750,1,6.233
9800,1,6.249
9850,1,6.281
9900,1,6.313
9950,1,6.329
10000,1,6.361
10050,1,6.393
10100,1,6.425
10150,1,6.441
10200,1,6.473
10250,1,6.505
10300,1,6.521
10350,1,6.553
10400,1,6.585
10450,1,6.617
10500,1,6.633
10550,1,6.665
10600,1,6.697
10650,1,6.713
10700,1,6.745
10750,1,6.777
10800,1,6.809
10850,1,6.825
10900,1,6.857
10950,1,6.889
11000,1,6.905
11050,1,6.937
11100,1,6.969
11150,1,6.985
11200,1,7.017
11250,1,7.049
11300,1,7.081
11350,1,7.097
11400,1,7.161
11450,1,7.193
11500,1,7.225
11550,1,7.241
11600,1,7.273
11650,1,7.305
11700,1,7.321
11750,1,7.353
11800,1,7.385
11850,1,7.417
11900,1,7.433
11950,1,7.465
12000,1,7.497
12050,1,7.513
12100,1,7.545
12150,1,7.577
12200,1,7.609
12250,1,7.625
12300,1,7.657
12350,1,7.689
12400,1,7.705
12450,1,7.737
12500,1,7.769
12550,1,7.801
12600,1,7.817
12650,1,7.849
12700,1,7.881
12750,1,7.897
12800,1,7.929
12850,1,7.961
12900,1,7.977
12950,1,8.009
13000,1,8.041
13050,1,8.073
13100,1,8.089
13150,1,8.121
13200,1,8.153
13250,1,8.169
13300,1,8.201
13350,1,8.233
13400,1,8.265
13450,1,8.281
13500,1,8.313
13550,1,8.345
13600,1,8.361
13650,1,8.425
13700,1,8.457
13750,1,8.489
13800,1,8.505
13850,1,8.537
13900,1,8.569
13950,1,8.601
14000,1,8.617
14050,1,8.649
14100,1,8.681
14150,1,8.697
14200,1,8.729
14250,1,8.761
14300,1,8.793
14350,1,8.809
14400,1,8.841
14450,1,8.873
14500,1,8.889
14550,1,8.921
14600,1,8.953
14650,1,8.985
14700,1,9.001
14750,1,9.033
14800,1,9.065
14850,1,9.081
14900,1,9.113
14950,1,9.145
15000,1,9.161
15050,1,9.193
15100,1,9.225
15150,1,9.257
15200,1,9.273
15250,1,9.305
15300,1,9.337
15350,1,9.353
15400,1,9.385
15450,1,9.417
15500,1,9.449
15550,1,9.465
15600,1,9.497
15650,1,9.529
15700,1,9.545
15750,1,9.577
15800,1,9.609
15850,1,9.641
15900,1,9.689
15950,1,9.721
16000,1,9.753
16050,1,9.785
16100,1,9.801
16150,1,9.833
16200,1,9.865
16250,1,9.881
16300,1,9.913
16350,1,9.945
